SKU,Date,Quantity,Expiration.Date
10333064,2016-09-05,42,2017-04-06
10333759,2016-09-05,1954,2017-04-02
10337661,2016-09-05,1,2018-01-05
10337666,2016-09-05,3,2017-12-21
10337667,2016-09-05,5,2017-12-20
10338963,2016-09-05,1,2018-01-01
10338964,2016-09-05,2,2018-01-01
10338965,2016-09-05,1,2018-01-01
10338966,2016-09-05,1,2018-01-17
10338967,2016-09-05,15,2018-01-02
10339070,2016-09-05,7,2017-12-05
10339071,2016-09-05,1,2017-12-05
10341116,2016-09-05,763,2018-01-19
10341116,2016-09-05,589,2018-02-01
10341116,2016-09-05,906,2018-02-02
10341311,2016-09-05,547,2017-10-20
10341311,2016-09-05,792,2017-10-30
10341429,2016-09-05,770,2018-01-19
10341429,2016-09-05,317,2018-01-20
10341429,2016-09-05,469,2018-01-29
10341429,2016-09-05,1027,2018-01-30
10341429,2016-09-05,156,2018-02-01
10341430,2016-09-05,234,2018-01-03
10341430,2016-09-05,1245,2018-01-20
10341430,2016-09-05,224,2018-02-01
10341430,2016-09-05,1587,2018-02-02
10343521,2016-09-05,1,2018-01-15
10343543,2016-09-05,1106,2018-01-06
10343543,2016-09-05,505,2018-02-06
10343543,2016-09-05,629.416666666667,2018-02-24
10343544,2016-09-05,28,2018-01-11
10343544,2016-09-05,833,2018-01-26
10343544,2016-09-05,664.5,2018-02-18
10343544,2016-09-05,795,2018-02-23
10351199,2016-09-05,4,2017-08-18
10351200,2016-09-05,2,2017-08-12
10351200,2016-09-05,3,2017-09-09
10354037,2016-09-05,1,2017-12-22
112991,2016-09-06,282,2017-02-24
112991,2016-09-06,4626,2017-03-02
112991,2016-09-06,255,2017-03-03
112991,2016-09-06,509,2017-03-08
112991,2016-09-06,1664,2017-03-23
114511,2016-09-06,0.083333,2017-03-01
114511,2016-09-06,5398,2017-04-02
114511,2016-09-06,1044,2017-04-03
114511,2016-09-06,12,2017-04-09
1053009,2016-09-06,207,2017-10-27
1053009,2016-09-06,269,2017-10-30
1053010,2016-09-06,1,2017-10-20
1053010,2016-09-06,291,2017-10-30
1053011,2016-09-06,819,2017-10-30
1053011,2016-09-06,568,2017-11-19
1057371,2016-09-06,546,2019-04-06
1057371,2016-09-06,1492,2019-07-25
1063485,2016-09-06,1,2018-01-17
1063485,2016-09-06,838,2018-01-28
1063486,2016-09-06,1,2018-01-01
1063486,2016-09-06,903,2018-01-28
1063488,2016-09-06,1,2018-01-03
1063488,2016-09-06,980,2018-01-18
1063491,2016-09-06,541,2018-01-16
1063491,2016-09-06,1031.45833333333,2018-02-24
1063581,2016-09-06,556.075,2017-08-23
1063647,2016-09-06,12,2017-06-13
1064002,2016-09-06,25,2017-12-05
1064002,2016-09-06,866,2018-01-29
1064003,2016-09-06,457,2018-01-29
1064023,2016-09-06,48,2017-05-13
1064023,2016-09-06,583.925,2017-09-05
1064678,2016-09-06,449,2017-09-17
1064727,2016-09-06,1786,2017-04-25
1064935,2016-09-06,504,2017-10-22
1064936,2016-09-06,1048,2018-02-06
1064975,2016-09-06,889,2018-01-27
1064975,2016-09-06,1225,2018-02-03
1064975,2016-09-06,1462,2018-02-13
1064975,2016-09-06,1192,2018-02-14
1064975,2016-09-06,1209,2018-02-15
1064975,2016-09-06,925,2018-02-16
1064975,2016-09-06,2133,2018-02-17
1064975,2016-09-06,1590.5,2018-02-18
1064984,2016-09-06,1124,2018-02-18
1064984,2016-09-06,808,2018-02-19
1064984,2016-09-06,2662,2018-02-22
1064984,2016-09-06,1851,2018-02-23
1064986,2016-09-06,619,2018-02-04
1064986,2016-09-06,2070,2018-02-05
1064986,2016-09-06,100,2018-02-06
1065037,2016-09-06,342,2019-05-13
1065201,2016-09-06,523,2018-01-17
1065201,2016-09-06,206,2018-01-18
1065202,2016-09-06,506,2018-01-16
1065202,2016-09-06,577,2018-02-24
1065315,2016-09-06,7,2018-01-28
1065315,2016-09-06,561,2018-02-10
1065315,2016-09-06,2013,2018-02-11
1065315,2016-09-06,1855,2018-02-12
1065315,2016-09-06,320,2018-02-13
1065316,2016-09-06,105,2018-01-13
1065316,2016-09-06,324,2018-02-11
1065316,2016-09-06,901,2018-02-12
1065316,2016-09-06,1893,2018-02-13
1065316,2016-09-06,1092,2018-02-14
1065316,2016-09-06,226,2018-02-16
1065316,2016-09-06,907,2018-02-17
1065317,2016-09-06,721,2018-02-03
1065317,2016-09-06,1083,2018-02-04
1065318,2016-09-06,327,2018-01-06
1065318,2016-09-06,212,2018-02-04
1065318,2016-09-06,875,2018-02-05
1065318,2016-09-06,1081,2018-02-06
10332315,2016-09-06,1,2017-04-20
10333064,2016-09-06,42,2017-04-06
10333759,2016-09-06,1954,2017-04-02
10337661,2016-09-06,1,2018-01-05
10337666,2016-09-06,3,2017-12-21
10337667,2016-09-06,5,2017-12-20
10338963,2016-09-06,1,2018-01-01
10338964,2016-09-06,2,2018-01-01
10338965,2016-09-06,1,2018-01-01
10338966,2016-09-06,1,2018-01-17
10338967,2016-09-06,15,2018-01-02
10339070,2016-09-06,7,2017-12-05
10339071,2016-09-06,1,2017-12-05
10341116,2016-09-06,763,2018-01-19
10341116,2016-09-06,589,2018-02-01
10341116,2016-09-06,906,2018-02-02
10341311,2016-09-06,547,2017-10-20
10341311,2016-09-06,792,2017-10-30
10341429,2016-09-06,770,2018-01-19
10341429,2016-09-06,317,2018-01-20
10341429,2016-09-06,469,2018-01-29
10341429,2016-09-06,1027,2018-01-30
10341429,2016-09-06,156,2018-02-01
10341430,2016-09-06,234,2018-01-03
10341430,2016-09-06,1245,2018-01-20
10341430,2016-09-06,224,2018-02-01
10341430,2016-09-06,1587,2018-02-02
10343521,2016-09-06,1,2018-01-15
10343543,2016-09-06,1106,2018-01-06
10343543,2016-09-06,505,2018-02-06
10343543,2016-09-06,629.416666666667,2018-02-24
10343544,2016-09-06,28,2018-01-11
10343544,2016-09-06,833,2018-01-26
10343544,2016-09-06,664.5,2018-02-18
10343544,2016-09-06,795,2018-02-23
10351199,2016-09-06,4,2017-08-18
10351200,2016-09-06,2,2017-08-12
10351200,2016-09-06,3,2017-09-09
10354037,2016-09-06,1,2017-12-22
112991,2016-09-07,228,2017-02-24
112991,2016-09-07,4626,2017-03-02
112991,2016-09-07,255,2017-03-03
112991,2016-09-07,509,2017-03-08
112991,2016-09-07,1664,2017-03-23
114511,2016-09-07,0.083333,2017-03-01
114511,2016-09-07,1270,2017-04-02
114511,2016-09-07,2659,2017-04-03
114511,2016-09-07,2,2017-04-09
1053009,2016-09-07,204,2017-10-27
1053009,2016-09-07,269,2017-10-30
1053010,2016-09-07,1,2017-10-20
1053010,2016-09-07,269,2017-10-30
1053011,2016-09-07,765,2017-10-30
1053011,2016-09-07,568,2017-11-19
1057371,2016-09-07,529,2019-04-06
1057371,2016-09-07,1492,2019-07-25
1063485,2016-09-07,806,2018-01-28
1063485,2016-09-07,1310.375,2018-02-25
1063486,2016-09-07,1,2018-01-01
1063486,2016-09-07,873,2018-01-28
1063486,2016-09-07,1064.5,2018-02-24
1063488,2016-09-07,949,2018-01-18
1063488,2016-09-07,629.333333333333,2018-02-25
1063491,2016-09-07,516,2018-01-16
1063491,2016-09-07,1031.45833333333,2018-02-24
1063581,2016-09-07,556.075,2017-08-23
1063647,2016-09-07,12,2017-06-13
1064002,2016-09-07,15,2017-12-05
1064002,2016-09-07,866,2018-01-29
1064003,2016-09-07,444,2018-01-29
1064023,2016-09-07,48,2017-05-13
1064023,2016-09-07,583.925,2017-09-05
1064678,2016-09-07,441,2017-09-17
1064687,2016-09-07,1,2017-02-23
1064727,2016-09-07,1687,2017-04-25
1064935,2016-09-07,493,2017-10-22
1064936,2016-09-07,1015,2018-02-06
1064975,2016-09-07,789,2018-01-27
1064975,2016-09-07,1072,2018-02-03
1064975,2016-09-07,1462,2018-02-13
1064975,2016-09-07,1192,2018-02-14
1064975,2016-09-07,1209,2018-02-15
1064975,2016-09-07,925,2018-02-16
1064975,2016-09-07,2133,2018-02-17
1064975,2016-09-07,1590.5,2018-02-18
1064984,2016-09-07,1023,2018-02-18
1064984,2016-09-07,808,2018-02-19
1064984,2016-09-07,2662,2018-02-22
1064984,2016-09-07,1851,2018-02-23
1064986,2016-09-07,574,2018-02-04
1064986,2016-09-07,2070,2018-02-05
1064986,2016-09-07,100,2018-02-06
1065037,2016-09-07,324,2019-05-13
1065201,2016-09-07,501,2018-01-17
1065201,2016-09-07,206,2018-01-18
1065201,2016-09-07,395,2018-02-25
1065202,2016-09-07,464,2018-01-16
1065202,2016-09-07,577,2018-02-24
1065315,2016-09-07,511,2018-02-10
1065315,2016-09-07,1957,2018-02-11
1065315,2016-09-07,1855,2018-02-12
1065315,2016-09-07,320,2018-02-13
1065316,2016-09-07,105,2018-01-13
1065316,2016-09-07,121,2018-02-11
1065316,2016-09-07,901,2018-02-12
1065316,2016-09-07,1893,2018-02-13
1065316,2016-09-07,1092,2018-02-14
1065316,2016-09-07,226,2018-02-16
1065316,2016-09-07,907,2018-02-17
1065316,2016-09-07,3061,2018-02-26
1065317,2016-09-07,691,2018-02-03
1065317,2016-09-07,1083,2018-02-04
1065318,2016-09-07,254,2018-01-06
1065318,2016-09-07,212,2018-02-04
1065318,2016-09-07,875,2018-02-05
1065318,2016-09-07,1081,2018-02-06
10332315,2016-09-07,1,2017-04-20
10333064,2016-09-07,42,2017-04-06
10333759,2016-09-07,3022,2017-04-02
10337661,2016-09-07,1,2018-01-05
10337666,2016-09-07,3,2017-12-21
10337667,2016-09-07,5,2017-12-20
10338963,2016-09-07,1,2018-01-01
10338964,2016-09-07,2,2018-01-01
10338965,2016-09-07,1,2018-01-01
10338966,2016-09-07,1,2018-01-17
10338967,2016-09-07,15,2018-01-02
10339070,2016-09-07,7,2017-12-05
10339071,2016-09-07,1,2017-12-05
10341116,2016-09-07,654,2018-01-19
10341116,2016-09-07,589,2018-02-01
10341116,2016-09-07,906,2018-02-02
10341311,2016-09-07,537,2017-10-20
10341311,2016-09-07,792,2017-10-30
10341429,2016-09-07,739,2018-01-19
10341429,2016-09-07,317,2018-01-20
10341429,2016-09-07,469,2018-01-29
10341429,2016-09-07,1027,2018-01-30
10341429,2016-09-07,156,2018-02-01
10341430,2016-09-07,122,2018-01-03
10341430,2016-09-07,1245,2018-01-20
10341430,2016-09-07,224,2018-02-01
10341430,2016-09-07,1587,2018-02-02
10343521,2016-09-07,1,2018-02-03
10343543,2016-09-07,1106,2018-01-06
10343543,2016-09-07,505,2018-02-06
10343543,2016-09-07,629.416666666667,2018-02-24
10343544,2016-09-07,726,2018-01-26
10343544,2016-09-07,664.5,2018-02-18
10343544,2016-09-07,795,2018-02-23
10343544,2016-09-07,360,2018-02-26
10351199,2016-09-07,4,2017-08-18
10351200,2016-09-07,2,2017-08-12
10351200,2016-09-07,3,2017-09-09
10354037,2016-09-07,1,2017-12-22
112991,2016-09-08,148,2017-02-24
112991,2016-09-08,4626,2017-03-02
112991,2016-09-08,255,2017-03-03
112991,2016-09-08,509,2017-03-08
112991,2016-09-08,1664,2017-03-23
