"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"1349",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-02,211,2018-02-04,520,"Fresh"
"1350",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-02,875,2018-02-05,521,"Fresh"
"1351",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-02,1081,2018-02-06,522,"Fresh"
"1366",10332315,"ANC FAMILY MILK 12X655G",2016-09-02,1,2017-04-20,230,"Fresh"
"1368",10333064,"ANC FAMILY MILK 24X300G",2016-09-02,42,2017-04-06,216,"Fresh"
"1375",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-09-02,2,2017-03-13,192,"Fresh"
"1376",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-09-02,417,2017-04-02,212,"Fresh"
"1408",10337661,"ANLENE GOLD CHOC 24X175G AT P99",2016-09-02,1,2018-01-05,490,"Fresh"
"1409",10337666,"ANLENE GOLD CHOC 24X385G AT P209",2016-09-02,3,2017-12-21,475,"Fresh"
"1410",10337667,"ANLENE GOLD PLAIN 24X180G AT P99",2016-09-02,5,2017-12-20,474,"Fresh"
"1412",10338963,"ANM MP CHOC 12X800G AT P678",2016-09-02,1,2018-01-01,486,"Fresh"
"1413",10338964,"ANM MP CHOC 24X375G AT P324",2016-09-02,2,2018-01-01,486,"Fresh"
"1414",10338965,"ANM MP CHOC 24X180G P159",2016-09-02,1,2018-01-01,486,"Fresh"
"1415",10338966,"ANM MP PLAIN 12X800G AT P678",2016-09-02,1,2018-01-17,502,"Fresh"
"1416",10338967,"ANM MP PLAIN 24X375G AT P 324",2016-09-02,15,2018-01-02,487,"Fresh"
"1417",10339070,"ANM MP MANG 24X180G AT P159",2016-09-02,7,2017-12-05,459,"Fresh"
"1419",10339071,"ANM MP MANG 24X375G AT P 324",2016-09-02,1,2017-12-05,459,"Fresh"
"1424",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-02,802,2018-01-19,504,"Fresh"
"1425",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-02,589,2018-02-01,517,"Fresh"
"1426",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-02,906,2018-02-02,518,"Fresh"
"1438",10341311,"ANC FAMILY MILK 32X140G+10G",2016-09-02,564,2017-10-20,413,"Fresh"
"1439",10341311,"ANC FAMILY MILK 32X140G+10G",2016-09-02,792,2017-10-30,423,"Fresh"
"1447",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-02,790,2018-01-19,504,"Fresh"
"1448",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-02,317,2018-01-20,505,"Fresh"
"1449",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-02,469,2018-01-29,514,"Fresh"
"1450",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-02,1027,2018-01-30,515,"Fresh"
"1451",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-02,156,2018-02-01,517,"Fresh"
"1464",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-02,263,2018-01-03,488,"Fresh"
"1465",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-02,1245,2018-01-20,505,"Fresh"
"1466",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-02,224,2018-02-01,517,"Fresh"
"1467",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-02,1587,2018-02-02,518,"Fresh"
"1479",10343521,"ANL GOLD CHOC 12X980G AT P499",2016-09-02,1,2018-01-15,500,"Fresh"
"1491",10343543,"ANL GOLD CHOC 24X300G",2016-09-02,1106,2018-01-06,491,"Fresh"
"1494",10343543,"ANL GOLD CHOC 24X300G",2016-09-02,505,2018-02-06,522,"Fresh"
